Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ntreat,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
441.2589417,6,34.06949906,-14.31518753,0,0,1,0,0,0,0,0,1,0,0,3,62,4.5,7,0.315661669,1,0,0,2,1,0,1,0,15.08985424,0.283280373,0.146200001,0.155049995,0.248249993,0.501749992,0.46509999,0.45660001,0.374249995,0.367500007,39,54,341,246,223,306,87,1296,4.199999809,34.0200119,26.5,16.5,1106.199951,16.50511527,24.4958197,22.85678759,24.14368433,24.4958197,133.3456879,1254.267719,10,2572.83468
463.3218994,6,34.52171711,-14.21726572,1,0,1,0,0,1,1,0,1,0,1,3,37,5.5,6,0.204347238,2,0,0,4,0,0,3,0,6.283732891,0.161874503,0.141294169,0.167696911,0.2581904,0.350244258,0.419270309,0.430191594,0.384234093,0.353804735,35,34,346,340,183,410,42,1390,4.300000191,40.31999969,30,20.89999962,1659.099976,20.0336423,20.21985789,16.23574201,22.9984909,20.21985789,140.0005298,521.8549554,17,1180.266215
475.2019043,6,34.63554764,-14.63231945,1,0,1,0,0,1,1,1,1,0,1,2,52,5,9,2.832861185,3,0,0.029999999,5,1,0,7,0,83.064888,0.526092157,0.140627485,0.151449498,0.194265426,0.360062293,0.464564329,0.441773334,0.337890286,0.335669146,39,42,334,319,220,511,35,1500,3.799999952,38.02999115,27.89999962,18.5,1657.800049,16.95095776,22.04800006,18.31018983,24.68336129,22.04800006,139.7354405,952.7870108,18,914.3574796
475.2019348,6,34.51632379,-14.23944154,1,0,1,0,0,0,0,0,1,1,0,3,70,4,8,0.303520858,2,0,0,3,0,0,3,0,12.23151779,0.263046071,0.141984492,0.158224642,0.270199227,0.36892803,0.411788243,0.450293208,0.381284514,0.370809246,35,34,346,340,183,410,42,1390,4.300000191,38.83998871,30,20.89999962,1659.099976,15.77000598,19.24708498,14.62987254,21.58733451,19.24708498,139.6385549,548.7102124,17,1189.512761
494.210022,6,34.59548208,-14.63337209,1,0,1,0,0,1,1,0,1,1,1,4,22,6,7,0.809388936,3,0,0.01,3,1,0,5,0,90.24606323,0.65761517,0.17383465,0.196178754,0.204579459,0.453941898,0.496789937,0.395663627,0.37636884,0.369837701,39,43,338,316,226,505,41,1508,3.799999952,38.39035588,27.79999924,18.39999962,1656.300049,16.12258322,20.94678233,14.74019638,23.50618608,20.94678233,135.633196,929.9681802,18,1541.665136
494.210022,3,34.59295353,-14.43809098,0,0,1,0,1,1,1,0,0,0,1,9,46,4,6,1.254552722,2,0,0.090000004,5,1,0,4,0,80.94197845,0.505857825,0.128299996,0.145449996,0.234349996,0.384550005,0.372649997,0.359349996,0.346350014,0.324600011,36,33,337,313,192,438,29,1378,3.900000095,40.06999969,30,20.70000076,1785.800049,24.27754082,20.50940532,20.74251447,24.07997794,20.50940532,136.8023176,551.0803718,17,895.9505163
514.802124,6,34.11878021,-14.18694622,1,0,0,0,0,1,0,0,1,0,1,7,65,6,11,0.416835308,2,0,0.02,6,1,0,5,0,45.68096161,0.291374098,0.185200006,0.129050002,0.274650007,0.495599985,0.528800011,0.441549987,0.381850004,0.378899992,35,50,331,243,208,305,72,1244,4.199999809,37.11998749,26.60000038,16.60000038,1164.900024,18.83146094,23.77085004,18.12981983,24.10072386,23.77085004,138.4152929,1179.968618,10,2533.709472
527.5275269,6,34.521485,-14.22566178,0,0,1,0,0,1,0,0,0,0,1,6,46,2,4,0.404694468,3,0,0,2,0,0,3,0,23.52746582,0.36017077,0.153600007,0.165900007,0.219449997,0.352750003,0.44295001,0.420949996,0.395900011,0.372099996,35,34,346,340,183,410,42,1390,4.300000191,40.6700058,30,20.89999962,1659.099976,17.50147459,19.742547,15.99322526,21.29279942,19.742547,140.7727011,524.5449713,17,1187.166967
529.5107422,6,34.5918841,-14.62821587,1,0,1,0,0,1,1,0,0,0,1,6,44,3.5,4,0.303520858,2,50,0,5,0,0,4,0,48.84347534,0.141640186,0.156645677,0.175728268,0.212954803,0.46493197,0.533570581,0.430451317,0.391255086,0.382660367,39,43,338,316,226,505,41,1508,3.799999952,38.01000214,27.79999924,18.39999962,1656.300049,14.91401973,20.91393191,15.16083349,23.15998326,20.91393191,134.3012139,931.6500424,18,1609.448119
529.5107422,6,34.09680079,-14.33166981,0,0,0,0,0,1,0,0,1,0,0,5,36,10.5,11,0.72845006,3,0,0,3,0,0,4,0,34.9449234,0.566560768,0.165382259,0.263307263,0.300945834,0.570173684,0.527949669,0.461951634,0.368972948,0.385511089,39,53,346,250,219,309,82,1298,4.199999809,34.33000946,26.29999924,16.39999962,1174.400024,14.12357867,22.96619214,20.33151816,23.21263336,22.96619214,136.565807,1283.112897,10,2645.692495
