Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
594.7667847,6,34.06905535,-14.31528789,1,0,1,1,0,1,1,0,0,1,0,3,65,2.5,5,1.776430607,3,0,0.400000006,5,2,6,0,126.1198883,0.382347241,0.181999996,0.239800006,0.216949999,0.319700003,0.627950013,0.536849976,0.362699986,0.310600013,1,16,204,247,231,126,53,878,-3.380000114,32.34999847,25.60000038,17.10000038,967.2000122,16.08309517,24.76644417,22.53746153,24.95026704,24.76644417,133.445755,1250.945666,10,2570.577663
658.9467163,1,34.76873779,-14.73638058,1,0,1,1,0,0,1,0,1,1,1,4,37,4,4,0.809388936,2,80,0,5,0,5,0,49.1272583,0.303520828,0.153899997,0.159500003,0.21965,0.420850009,0.546249986,0.495299995,0.310799986,0.357199997,7,13,194,287,232,134,29,896,-1.909999967,32.83000946,26.60000038,18.70000076,1434,14,21.68605,17.48584431,23.67139223,21.68605,135.2530116,1109.412825,18,995.9050727
691.8939819,6,34.64162827,-14.63563538,0,0,0,0,0,1,1,0,0,1,0,5,37,7.666666508,8,0.607041717,2,100,0.07,2,1,4,0,721.0038452,0.505868062,0.146585831,0.13535634,0.278314559,0.400359916,0.528595588,0.406944129,0.305875611,0.366692082,5,12,196,271,235,131,28,878,-1.720000029,32.36000824,27.10000038,18.89999962,1470.099976,17.71684486,22.04182925,17.42459677,24.57227093,22.04182925,136.3809757,973.2237268,18.22169456,924.0967373
706.0143433,6,34.0942962,-14.20636149,1,0,1,0,0,1,1,0,0,1,1,6,31,3,6,0.708215296,4,0,0.150000002,5,2,3,0,316.5569153,0.141643062,0.090800002,0.170300007,0.127550006,0.309500009,0.452100009,0.440250009,0.362049997,0.30430001,0,15,199,248,226,125,48,861,-3.480000019,35.0200119,25.70000076,17.10000038,1015.099976,32.23182665,24.45077094,30.11373343,27.50512528,24.45077094,134.9980396,1240.45613,10,2632.813443
741.3150024,6,34.63108826,-14.64160156,1,0,0,0,0,0,0,0,0,0,1,8,68,7.599999905,10,0.404694468,1,25,0,4,0,4,0,13.27644157,0.202347234,0.155117817,0.149013956,0.236625457,0.374884556,0.512579666,0.364420423,0.295207603,0.291629934,5,12,196,271,235,131,28,878,-1.720000029,32.37548741,27.10000038,18.89999962,1470.099976,17.97294089,21.22145688,19.13790453,24.47979908,21.22145688,137.4098167,938.7735427,18,975.9141301
742.5030518,6,34.52611908,-14.21150204,0,0,0,0,0,1,0,0,1,0,1,4,39,3,6,0.607041717,2,100,0,2,0,2,0,61.72888565,0.168352894,0.207800001,0.212200001,0.199450001,0.363550007,0.594799995,0.406450003,0.348800004,0.334899992,0,10,205,273,237,127,43,895,-4.139999866,38.11998749,29.20000076,21.29999924,1410.800049,26.51960703,24.26549364,17.70149914,25.11960768,24.26549364,139.0182685,514.4215714,17,1225.436378
772.203125,6,34.52049224,-14.2164896,0,0,0,0,0,1,0,0,0,0,1,5,28,8,12,0.161877781,1,0,0,1,0,1,0,28.8888855,0.161877781,0.181995068,0.150146713,0.185982971,0.281216274,0.538312324,0.40373125,0.342259376,0.316298016,0,10,205,273,237,127,43,895,-4.139999866,37.63952805,29.20000076,21.29999924,1410.800049,19.03643287,20.01035332,15.87461714,22.9679766,20.01035332,139.9739232,516.8586879,17,1167.280435
823.6833496,1,34.74140167,-14.72087288,1,0,0,0,0,1,0,0,1,1,0,4,31,10,10,0.404694468,1,100,0,2,0,2,0,34.54241943,0.303520828,0.150496761,0.161906997,0.24037736,0.469473393,0.51720677,0.419498013,0.310578319,0.348309801,7,13,199,290,239,135,28,911,-1.980000019,30.59667397,26.20000076,18.39999962,1434,14.38682814,20.67011383,13.71311407,21.28098409,20.67011383,138.7549409,1108.959537,18,1051.154851
855.3634644,6,34.51263986,-14.21613348,0,0,0,0,1,0,1,0,0,0,1,3,65,0.5,1,0.607041717,2,100,0.329999998,2,2,2,0,154.576004,0.526102796,0.202299997,0.211999997,0.26699999,0.388900012,0.47845,0.40715,0.371699989,0.356400013,0,10,205,273,237,127,43,895,-4.139999866,37.18999481,29.20000076,21.29999924,1410.800049,15.79665027,20.86522764,15.81579617,22.91952707,20.86522764,138.8217041,538.3826244,17,1087.660344
868.249939,6,34.07343108,-14.31303185,1,0,1,0,0,1,1,0,1,1,1,3,55,5,5,0.408694476,2,100,0,5,1,6,0,15.51416683,0.127845889,0.194600001,0.227899998,0.291949987,0.248300001,0.460900009,0.464700013,0.330850005,0.270999998,1,16,204,247,231,126,53,878,-3.380000114,32.34999847,25.60000038,17.10000038,967.2000122,14.5263029,24.10556532,21.43485714,23.52818068,24.10556532,135.6448442,1259.280019,10,2595.6102
878.59552,6,34.11759335,-14.18676996,1,0,1,0,0,1,0,0,0,1,1,5,35,5,7,0.252934039,2,0,0.01,2,1,4,0,178.4382324,0.227640638,0.164834028,0.177167862,0.207283834,0.452531401,0.568573457,0.502015951,0.375347916,0.423483095,0,15,199,248,226,125,48,861,-3.480000019,31.74999428,25.70000076,17.10000038,1015.099976,19.09440907,23.34504961,17.96635618,24.2354232,23.34504961,137.412715,1184.832988,10,2534.124258
884.6358643,6,34.63376617,-14.63920307,1,0,1,1,0,0,0,0,1,1,0,8,84,5.5,8,0.404694468,1,100,0,3,0,3,0,37.39517975,0.202347234,0.203500003,0.162400007,0.305200011,0.493349999,0.63015002,0.489399999,0.371549994,0.409500003,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,17.41011752,21.24574287,19.99400768,25.11874618,21.24574287,138.3637607,942.7408378,18,957.2351147
919.2305908,6,34.10221048,-14.20516353,1,0,1,0,0,1,1,0,0,1,1,4,24,3,4,1.011736155,3,0,0.300000004,6,2,8,0,368.6856689,0.303520851,0.145899996,0.201299995,0.247199997,0.449800014,0.515150011,0.52335,0.363849998,0.415800005,0,15,199,248,226,125,48,861,-3.480000019,34.59999847,25.70000076,17.10000038,1015.099976,26.16998042,24.0948491,21.90654771,25.44373462,24.0948491,134.6393296,1236.314079,10,2583.714128
